Index,Date2,Date,Economic Growth,Employment Growth,Inflation,Medium Term Rate,Policy Rate
138,01/26/2022,20220126,UP,UP,UP,Hawk,UP
139,03/16/2022,20220316,UP,UP,UP,Hawk,UP
140,05-04-2022,20220504,UP,UP,UP,Hawk,UP
141,06/15/2022,20220615,UP,UP,UP,Hawk,UP
142,07/27/2022,20220727,Down,UP,UP,Hawk,UP
143,09/21/2022,20220921,Flat,UP,UP,Hawk,UP
144,11-02-2022,20221102,Flat,UP,UP,Hawk,UP
145,12/14/2022,20221214,Flat,UP,UP,Hawk,UP
146,02-01-2023,20230201,Flat,UP,UP,Hawk,UP
147,03/22/2023,20230322,Flat,UP,UP,Hawk,UP
148,05-03-2023,20230503,UP,UP,UP,Hawk,UP
149,06/14/2023,20230614,UP,UP,UP,Hawk,Flat
150,7-26-2023,20230726,Flat,UP,UP,Hawk,UP
